ObjectId,organization,department,division,branch,unit,suite,office,address,community,latitude,longitude,mailcode
1,,Highways and Public Works,Transportation,Transportation Maintenance,Western Area,,,9024 Quartz Road,Whitehorse,60.7357210340001,-135.070789537,W24
2,,Highways and Public Works,Transportation,Transportation Maintenance,Western Area,,,9024 Quartz Road,Whitehorse,60.7357210340001,-135.070789537,W24
3,,Highways and Public Works,Transportation,Transportation Maintenance,Western Area,,,9024 Quartz Road,Whitehorse,60.7357210340001,-135.070789537,W24
4,,Highways and Public Works,Transportation,Transportation Maintenance,Western Area,,,9024 Quartz Road,Whitehorse,60.7357210340001,-135.070789537,W24
5,,Highways and Public Works,Transportation,Transportation Maintenance,Western Area,,,9024 Quartz Road,Whitehorse,60.7357210340001,-135.070789537,W24
6,,Highways and Public Works,Transportation,Transportation Maintenance,Northern Area,,,W-12,Whitehorse,60.7647888610001,-135.128340979,
7,,Highways and Public Works,Transportation,Transportation Maintenance,Northern Area,,,W-12,Whitehorse,60.7647888610001,-135.128340979,
8,,Highways and Public Works,Transportation,Transportation Maintenance,Northern Area,,,W-12,Whitehorse,60.7647888610001,-135.128340979,
9,,Highways and Public Works,Transportation,Transportation Maintenance,Northern Area,,,W-12,Whitehorse,60.7647888610001,-135.128340979,
10,,Highways and Public Works,Transportation,Transportation Maintenance,Western Area,,,W-24,Whitehorse,60.72085,-135.05323,
11,,Health and Social Services,,,,,,#5HRD,Whitehorse,60.72085,-135.05323,
12,,Health and Social Services,,,,,,#5HRD,Whitehorse,60.72085,-135.05323,
13,,Health and Social Services,,,,,,204 Lambert,Whitehorse,60.7179594130001,-135.051966675,H2F
14,,Health and Social Services,,,,,,204 Lambert,Whitehorse,60.7179594130001,-135.051966675,H2F
15,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
16,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
17,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
18,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
19,,Cabinet Office,,,,,,2071 2nd Ave,Whitehorse,60.716785814,-135.050013432,
20,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
21,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
22,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
23,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
24,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
25,,Executive Council Office,,,,,,2071 2nd Ave,Whitehorse,60.716785814,-135.050013432,
26,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
27,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
28,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
29,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
30,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
31,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
32,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
33,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
34,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
35,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
36,,Justice,,,,,,25 College Drive,Whitehorse,60.7438458130001,-135.09531549,
37,,Community Services,,,,,,,Whitehorse,60.72085,-135.05323,
38,,Justice,,,,,,25 College Drive,Whitehorse,60.7438458130001,-135.09531549,
39,,Justice,,,,,,25 College Drive,Whitehorse,60.7438458130001,-135.09531549,
40,,Health and Social Services,,,,,,3168 3rd Avenue,Whitehorse,60.723586057,-135.057718222,
41,,Commissioners Office,,,,,,412 Main Street,Whitehorse,60.718624355,-135.058176759,A20
42,,Commissioners Office,,,,,,412 Main Street,Whitehorse,60.718624355,-135.058176759,A20
